Date,government,aircraft,Airbus,defence,BAE Systems,aerospace
2017-01-01,35,59,77,58,16,24
2017-01-02,54,71,74,79,31,50
2017-01-03,68,86,91,81,64,71
2017-01-04,74,88,75,82,51,78
2017-01-05,75,80,81,85,51,74
2017-01-06,75,100,74,82,40,79
2017-01-07,51,73,64,81,19,34
2017-01-08,52,78,85,63,42,36
2017-01-09,80,92,86,88,57,58
2017-01-10,83,69,91,99,90,73
2017-01-11,84,83,100,77,60,82
2017-01-12,87,87,94,78,33,66
2017-01-13,72,89,78,75,58,73
2017-01-14,45,69,78,71,42,36
2017-01-15,46,75,80,75,32,52
2017-01-16,70,74,91,87,61,77
2017-01-17,82,86,88,89,68,66
2017-01-18,86,89,87,84,28,67
2017-01-19,88,89,85,84,65,100
2017-01-20,81,79,71,83,34,70
2017-01-21,58,68,68,79,37,61
2017-01-22,61,72,60,87,32,42
2017-01-23,92,84,71,100,64,81
2017-01-24,99,79,79,91,73,88
2017-01-25,89,75,75,91,48,69
2017-01-26,84,87,70,87,61,88
2017-01-27,80,83,80,88,51,63
2017-01-28,53,68,68,86,56,39
2017-01-29,59,74,62,77,78,36
2017-01-30,90,86,67,91,100,74
2017-01-31,100,88,89,86,99,79
2017-02-01,100,91,85,90,56,69
2017-02-02,96,75,91,86,62,82
2017-02-03,89,75,92,79,48,87
2017-02-04,58,72,68,73,33,39
2017-02-05,63,71,77,73,40,45
2017-02-06,94,69,84,92,68,61
2017-02-07,94,94,100,84,63,72
2017-02-08,94,81,92,85,100,90
2017-02-09,96,79,99,91,61,70
2017-02-10,81,74,79,75,60,58
2017-02-11,54,65,86,66,16,49
2017-02-12,61,70,83,79,20,41
2017-02-13,92,80,86,76,98,71
2017-02-14,95,82,73,88,75,84
2017-02-15,92,87,87,100,54,91
2017-02-16,93,92,93,87,43,91
2017-02-17,81,72,88,81,46,64
2017-02-18,56,75,65,83,33,58
2017-02-19,58,80,74,73,32,54
2017-02-20,82,79,89,87,65,84
2017-02-21,94,87,79,87,60,86
2017-02-22,94,90,95,95,60,100
2017-02-23,96,83,91,88,76,86
2017-02-24,80,76,89,79,56,60
2017-02-25,62,72,81,70,12,52
2017-02-26,60,70,67,75,24,42
2017-02-27,96,89,75,80,76,77
2017-02-28,94,100,91,92,81,81
2017-03-01,93,86,82,74,69,77
2017-03-02,94,100,90,90,88,81
2017-03-03,82,97,95,87,68,67
2017-03-04,55,74,70,87,31,45
2017-03-05,59,73,72,79,35,52
2017-03-06,91,100,82,93,47,88
2017-03-07,96,96,98,84,69,83
2017-03-08,94,93,89,97,83,96
2017-03-09,94,82,100,88,61,84
2017-03-10,84,90,86,86,32,83
2017-03-11,55,83,77,73,31,52
2017-03-12,57,78,81,78,11,45
2017-03-13,87,95,94,91,42,94
2017-03-14,100,94,83,93,55,100
2017-03-15,96,90,91,97,51,78
2017-03-16,89,93,90,87,59,83
2017-03-17,80,90,90,84,44,82
2017-03-18,54,75,73,74,20,49
2017-03-19,59,80,85,76,20,48
2017-03-20,89,79,79,96,55,86
2017-03-21,88,95,92,88,89,79
2017-03-22,91,90,78,100,62,74
2017-03-23,93,90,86,92,67,79
2017-03-24,79,78,85,84,46,76
2017-03-25,55,75,60,81,24,33
2017-03-26,58,70,74,78,36,50
2017-03-27,91,96,84,89,100,79
2017-03-28,89,92,93,97,59,82
2017-03-29,89,86,90,94,66,88
2017-03-30,87,87,84,91,67,86
2017-03-31,77,78,72,88,36,74
2017-04-01,49,46,81,80,24,44
2017-04-02,53,49,91,78,10,60
2017-04-03,79,60,80,79,53,88
2017-04-04,83,63,92,96,100,94
2017-04-05,79,64,85,89,70,89
2017-04-06,85,63,85,86,46,80
2017-04-07,71,70,96,81,69,75
2017-04-08,48,55,73,78,29,43
2017-04-09,51,68,77,73,24,66
2017-04-10,81,66,80,86,63,71
2017-04-11,81,76,87,91,59,100
2017-04-12,82,60,92,100,80,84
2017-04-13,73,78,79,91,79,78
2017-04-14,57,74,73,79,66,52
2017-04-15,49,65,67,83,30,44
2017-04-16,46,64,71,80,30,51
2017-04-17,73,69,81,76,60,89
2017-04-18,83,71,72,78,65,95
2017-04-19,78,82,78,87,28,81
2017-04-20,84,69,89,82,84,88
2017-04-21,77,66,87,77,39,88
2017-04-22,53,56,58,77,53,58
2017-04-23,58,60,73,84,28,55
2017-04-24,100,73,100,81,49,84
2017-04-25,97,72,98,87,83,85
2017-04-26,94,100,90,83,89,86
2017-04-27,91,77,96,89,66,97
2017-04-28,90,59,87,79,77,89
2017-04-29,56,59,59,73,24,39
2017-04-30,58,56,73,75,29,60
2017-05-01,97,100,79,84,31,69
2017-05-02,100,86,87,97,100,84
2017-05-03,99,85,100,92,45,88
2017-05-04,96,88,91,93,63,86
2017-05-05,84,90,91,93,51,68
2017-05-06,60,73,70,89,20,42
2017-05-07,62,71,62,71,34,44
2017-05-08,95,81,91,92,41,81
2017-05-09,93,83,96,93,87,98
2017-05-10,99,82,78,88,54,91
2017-05-11,90,79,94,88,25,85
2017-05-12,84,84,89,92,39,84
2017-05-13,55,71,78,81,20,45
2017-05-14,59,80,75,83,34,42
2017-05-15,92,85,84,90,61,90
2017-05-16,90,82,87,88,49,100
2017-05-17,87,85,89,85,18,73
2017-05-18,87,80,85,88,67,68
2017-05-19,78,89,85,92,56,73
2017-05-20,60,61,78,71,42,57
2017-05-21,58,77,80,76,57,46
2017-05-22,84,89,87,94,63,93
2017-05-23,83,79,75,96,70,75
2017-05-24,85,84,93,95,72,73
2017-05-25,84,86,87,91,37,91
2017-05-26,70,70,68,100,62,73
2017-05-27,58,72,66,79,48,49
2017-05-28,52,70,76,88,43,50
2017-05-29,68,84,91,100,33,74
2017-05-30,82,84,80,87,48,92
2017-05-31,89,86,86,88,78,89
2017-06-01,89,78,62,88,34,87
2017-06-02,82,67,65,90,43,89
2017-06-03,63,58,49,72,26,50
2017-06-04,65,64,57,87,30,46
2017-06-05,88,73,55,91,100,75
2017-06-06,88,66,67,87,54,100
2017-06-07,91,67,69,100,44,93
2017-06-08,92,64,62,90,18,78
2017-06-09,100,62,69,79,57,77
2017-06-10,62,67,60,73,31,37
2017-06-11,64,70,58,60,18,51
2017-06-12,84,66,79,83,59,82
2017-06-13,87,74,74,76,50,85
2017-06-14,87,71,72,74,48,81
2017-06-15,81,69,76,70,49,72
2017-06-16,82,63,78,77,65,53
2017-06-17,62,65,61,79,27,56
2017-06-18,55,64,72,67,22,40
2017-06-19,76,74,100,86,73,83
2017-06-20,90,76,82,84,81,78
2017-06-21,85,71,71,75,50,82
2017-06-22,86,74,83,81,72,83
2017-06-23,81,69,70,75,19,75
2017-06-24,66,62,59,80,13,45
2017-06-25,58,72,70,69,26,56
2017-06-26,74,100,81,96,41,72
2017-06-27,80,84,81,89,61,91
2017-06-28,86,81,64,88,49,69
2017-06-29,88,85,73,83,77,81
2017-06-30,74,81,71,78,50,71
2017-07-01,80,84,64,77,27,52
2017-07-02,77,83,67,73,41,41
2017-07-03,91,79,78,79,66,68
2017-07-04,89,80,76,97,42,66
2017-07-05,92,85,100,97,42,77
2017-07-06,92,91,74,97,84,71
2017-07-07,86,86,80,87,61,84
2017-07-08,67,71,71,90,34,44
2017-07-09,69,72,74,79,75,30
2017-07-10,91,80,80,95,81,96
2017-07-11,100,91,86,86,70,94
2017-07-12,92,76,70,78,64,92
2017-07-13,91,91,83,89,100,77
2017-07-14,80,74,79,76,67,66
2017-07-15,67,67,65,80,48,43
2017-07-16,68,72,66,85,27,54
2017-07-17,96,85,90,95,76,88
2017-07-18,97,91,73,85,59,86
2017-07-19,90,95,79,89,77,81
2017-07-20,85,84,73,93,64,84
2017-07-21,81,80,80,80,84,71
2017-07-22,67,96,72,83,27,53
2017-07-23,70,95,72,83,33,49
2017-07-24,90,100,93,91,86,94
2017-07-25,93,76,91,100,64,100
2017-07-26,94,96,80,82,86,87
2017-07-27,90,88,85,82,64,88
2017-07-28,82,87,91,83,72,79
2017-07-29,70,75,71,88,47,50
2017-07-30,66,89,73,80,20,40
2017-07-31,85,88,77,84,86,84
2017-08-01,86,76,83,86,100,76
2017-08-02,81,79,88,87,69,82
2017-08-03,81,86,100,87,95,83
2017-08-04,71,69,84,81,47,64
2017-08-05,52,63,72,86,48,47
2017-08-06,55,79,74,72,24,38
2017-08-07,76,81,84,77,69,67
2017-08-08,81,85,79,79,54,86
2017-08-09,81,83,77,73,45,88
2017-08-10,83,85,84,88,57,55
2017-08-11,72,76,75,97,84,78
2017-08-12,56,75,69,83,12,42
2017-08-13,55,73,67,77,53,43
2017-08-14,79,75,74,86,62,71
2017-08-15,81,77,81,94,95,63
2017-08-16,85,100,83,100,82,95
2017-08-17,91,80,78,82,71,84
2017-08-18,76,78,76,94,52,80
2017-08-19,60,63,66,69,41,43
2017-08-20,63,76,79,84,23,33
2017-08-21,77,74,83,81,44,77
2017-08-22,92,81,79,86,90,79
2017-08-23,97,82,79,90,81,77
2017-08-24,97,83,93,93,91,75
2017-08-25,90,66,74,89,43,65
2017-08-26,59,60,72,74,35,40
2017-08-27,59,62,77,73,29,38
2017-08-28,91,76,73,95,51,78
2017-08-29,96,84,79,90,59,89
2017-08-30,100,71,73,91,71,100
2017-08-31,92,72,82,86,86,86
2017-09-01,74,63,95,58,64,77
2017-09-02,48,52,84,52,29,52
2017-09-03,54,59,82,98,56,43
2017-09-04,65,61,86,85,46,57
2017-09-05,84,60,89,98,79,87
2017-09-06,93,66,71,100,55,77
2017-09-07,93,71,90,77,66,89
2017-09-08,87,67,84,68,46,67
2017-09-09,57,56,74,64,46,40
2017-09-10,65,53,83,60,27,46
2017-09-11,89,61,77,68,35,74
2017-09-12,95,66,88,66,59,86
2017-09-13,93,72,82,73,55,91
2017-09-14,90,61,85,70,47,86
2017-09-15,83,60,79,68,50,75
2017-09-16,58,57,75,61,14,35
2017-09-17,64,59,67,56,45,49
2017-09-18,97,71,91,73,96,88
2017-09-19,100,60,83,68,90,98
2017-09-20,95,71,92,68,44,88
2017-09-21,91,100,93,63,100,86
2017-09-22,82,66,79,61,75,74
2017-09-23,58,49,79,61,56,44
2017-09-24,58,55,74,63,41,43
2017-09-25,92,69,83,64,91,68
2017-09-26,94,68,80,68,70,97
2017-09-27,95,73,100,63,55,85
2017-09-28,96,65,92,65,81,100
2017-09-29,83,65,82,64,54,74
2017-09-30,48,58,98,56,28,39
2017-10-01,61,77,73,62,5,50
2017-10-02,92,81,61,100,17,74
2017-10-03,96,83,49,88,29,98
2017-10-04,100,87,53,85,35,87
2017-10-05,90,82,47,82,26,87
2017-10-06,87,92,78,80,26,83
2017-10-07,53,73,80,71,20,55
2017-10-08,58,71,61,80,15,48
2017-10-09,84,83,57,81,63,91
2017-10-10,90,90,55,81,100,80
2017-10-11,95,78,52,90,32,99
2017-10-12,100,74,52,88,21,80
2017-10-13,81,87,52,80,18,84
2017-10-14,52,68,42,70,10,47
2017-10-15,62,69,50,74,13,60
2017-10-16,89,96,68,87,13,94
2017-10-17,90,90,100,74,27,96
2017-10-18,86,92,57,70,33,100
2017-10-19,88,83,66,76,25,97
2017-10-20,80,77,61,76,12,86
2017-10-21,54,68,54,75,12,45
2017-10-22,55,70,42,65,10,54
2017-10-23,89,90,52,82,23,83
2017-10-24,98,100,53,77,20,85
2017-10-25,96,90,55,84,27,96
2017-10-26,93,81,49,82,23,88
2017-10-27,80,73,49,70,24,95
2017-10-28,53,66,40,67,18,50
2017-10-29,57,69,50,68,2,50
2017-10-30,90,90,49,81,29,92
2017-10-31,88,80,48,77,14,79
2017-11-01,97,67,38,100,92,62
2017-11-02,98,78,45,95,52,79
2017-11-03,84,63,42,77,58,67
2017-11-04,57,59,36,70,83,48
2017-11-05,61,59,34,63,19,42
2017-11-06,91,79,43,86,80,89
2017-11-07,95,85,47,82,59,94
2017-11-08,96,91,41,83,64,91
2017-11-09,94,87,42,81,85,63
2017-11-10,82,78,38,78,58,78
2017-11-11,56,68,38,75,39,45
2017-11-12,61,80,47,74,19,37
2017-11-13,91,74,45,83,75,79
2017-11-14,95,77,44,86,80,91
2017-11-15,95,77,100,79,100,100
2017-11-16,92,78,61,85,84,75
2017-11-17,84,85,45,69,52,78
2017-11-18,53,73,42,75,34,38
2017-11-19,58,67,41,65,53,54
2017-11-20,84,74,41,73,63,84
2017-11-21,76,74,42,79,54,70
2017-11-22,76,100,43,80,68,54
2017-11-23,65,78,42,80,48,55
2017-11-24,57,74,39,66,43,50
2017-11-25,53,69,29,69,10,40
2017-11-26,56,61,38,78,10,39
2017-11-27,88,77,45,80,49,78
2017-11-28,98,76,43,87,41,86
2017-11-29,100,69,43,83,93,76
2017-11-30,97,74,39,79,64,80
2017-12-01,79,83,69,79,51,80
2017-12-02,54,71,60,55,42,55
2017-12-03,54,82,79,72,15,48
2017-12-04,90,92,78,85,65,81
2017-12-05,95,93,69,100,42,92
2017-12-06,100,88,80,89,76,86
2017-12-07,99,97,84,78,66,93
2017-12-08,84,93,70,86,38,77
2017-12-09,51,82,68,75,27,46
2017-12-10,55,81,60,78,48,53
2017-12-11,85,98,81,86,100,85
2017-12-12,89,96,82,84,35,91
2017-12-13,89,94,85,79,36,89
2017-12-14,87,87,100,78,53,79
2017-12-15,80,82,100,89,38,82
2017-12-16,46,77,58,69,11,42
2017-12-17,51,89,69,71,27,68
2017-12-18,83,79,79,84,33,77
2017-12-19,81,97,80,87,44,100
2017-12-20,79,100,86,89,48,78
2017-12-21,76,88,76,80,32,84
2017-12-22,55,84,87,77,26,77
2017-12-23,46,75,73,64,8,40
2017-12-24,38,82,69,66,29,42
2017-12-25,38,88,59,62,38,37
2017-12-26,48,90,68,76,26,49
2017-12-27,52,76,67,81,21,49
2017-12-28,57,94,82,70,25,59
2017-12-29,50,90,90,73,36,63
2017-12-30,49,64,70,67,12,46
2017-12-31,36,72,66,73,12,39
2018-01-01,8,83,46,70,30,32
2018-01-02,10,99,58,76,71,65
2018-01-03,11,95,59,73,73,65
2018-01-04,12,96,57,82,48,81
2018-01-05,11,79,72,78,46,68
2018-01-06,8,85,59,66,36,50
2018-01-07,8,80,57,68,40,44
2018-01-08,12,86,55,84,55,75
2018-01-09,13,91,63,87,66,95
2018-01-10,13,100,69,86,68,94
2018-01-11,13,96,62,84,76,94
2018-01-12,12,87,65,85,69,82
2018-01-13,8,80,58,76,54,43
2018-01-14,8,72,57,73,27,49
2018-01-15,11,96,100,94,51,76
2018-01-16,15,90,78,88,100,81
2018-01-17,17,86,64,89,77,91
2018-01-18,20,91,96,88,51,100
2018-01-19,36,91,74,83,53,68
2018-01-20,100,81,60,69,44,44
2018-01-21,53,79,53,76,31,49
2018-01-22,68,85,66,87,73,82
2018-01-23,30,83,66,100,50,83
2018-01-24,18,88,59,93,66,97
2018-01-25,16,100,58,86,75,90
2018-01-26,13,85,58,83,44,75
2018-01-27,9,86,48,68,27,58
2018-01-28,9,80,59,76,40,49
2018-01-29,14,89,58,93,39,89
2018-01-30,15,95,60,100,81,100
2018-01-31,14,80,71,83,74,76
2018-02-01,43,94,96,100,78,87
2018-02-02,40,84,96,79,44,70
2018-02-03,30,70,59,72,44,40
2018-02-04,30,77,84,83,13,40
2018-02-05,43,81,79,78,82,81
2018-02-06,51,86,97,88,100,80
2018-02-07,54,84,88,79,46,85
2018-02-08,67,85,82,81,59,94
2018-02-09,100,86,81,78,60,68
2018-02-10,32,71,72,70,35,45
2018-02-11,31,81,86,70,35,55
2018-02-12,44,100,97,78,63,81
2018-02-13,43,90,88,85,47,100
2018-02-14,41,80,82,76,63,73
2018-02-15,42,86,100,91,63,82
2018-02-16,37,80,91,77,73,70
2018-02-17,26,69,72,68,23,40
2018-02-18,27,85,78,66,18,57
2018-02-19,37,84,88,84,62,74
2018-02-20,41,82,97,84,81,80
2018-02-21,42,75,89,86,54,96
2018-02-22,42,94,87,81,78,91
2018-02-23,38,86,93,78,56,93
2018-02-24,26,69,70,69,44,39
2018-02-25,27,67,74,67,26,41
2018-02-26,40,95,90,87,68,93
2018-02-27,43,88,84,82,57,69
2018-02-28,41,82,99,82,49,83
2018-03-01,86,79,72,82,66,89
2018-03-02,79,75,77,82,54,83
2018-03-03,55,67,90,83,27,45
2018-03-04,58,75,74,74,31,56
2018-03-05,86,86,91,100,81,87
2018-03-06,91,100,87,83,51,93
2018-03-07,90,90,96,95,80,93
2018-03-08,86,80,100,94,81,75
2018-03-09,78,83,75,87,59,93
2018-03-10,54,73,74,73,23,58
2018-03-11,57,77,74,63,13,38
2018-03-12,81,88,84,89,35,79
2018-03-13,88,85,83,89,100,100
2018-03-14,81,86,79,99,67,80
2018-03-15,88,88,79,95,72,79
2018-03-16,72,76,75,93,58,74
2018-03-17,52,64,69,84,45,53
2018-03-18,51,66,77,75,32,46
2018-03-19,88,85,87,92,52,93
2018-03-20,93,84,83,90,63,88
2018-03-21,100,82,88,90,52,91
2018-03-22,92,79,89,100,68,96
2018-03-23,87,73,78,88,74,73
2018-03-24,57,73,73,81,42,49
2018-03-25,59,74,80,80,42,53
2018-03-26,81,90,89,98,65,78
2018-03-27,86,86,78,93,72,94
2018-03-28,78,80,88,82,94,94
2018-03-29,75,70,85,85,59,83
2018-03-30,60,73,74,74,59,74
2018-03-31,49,68,76,67,33,47
2018-04-01,55,68,76,69,23,58
2018-04-02,82,78,90,59,37,68
2018-04-03,89,83,84,84,73,76
2018-04-04,96,86,90,77,65,78
2018-04-05,89,83,100,82,51,88
2018-04-06,83,73,83,100,65,78
2018-04-07,62,73,85,78,27,43
2018-04-08,64,73,94,73,31,39
2018-04-09,96,91,94,88,35,77
2018-04-10,90,89,88,95,45,87
2018-04-11,94,100,99,98,45,90
2018-04-12,93,88,90,98,69,85
2018-04-13,82,84,87,93,100,76
2018-04-14,61,73,56,97,45,39
2018-04-15,62,84,72,79,35,49
2018-04-16,94,90,93,99,31,75
2018-04-17,100,84,96,79,77,84
2018-04-18,96,94,81,74,58,87
2018-04-19,92,89,94,82,60,70
2018-04-20,84,83,87,72,77,75
2018-04-21,58,72,65,75,27,44
2018-04-22,64,74,72,70,22,49
2018-04-23,93,88,88,77,49,76
2018-04-24,96,92,90,78,72,88
2018-04-25,92,83,89,87,65,68
2018-04-26,97,83,92,86,62,88
2018-04-27,80,71,97,73,49,100
2018-04-28,59,70,72,73,41,44
2018-04-29,64,90,61,78,27,48
2018-04-30,98,77,84,83,79,92
2018-05-01,90,83,73,88,39,66
2018-05-02,85,88,75,92,53,82
2018-05-03,86,100,92,97,66,100
2018-05-04,77,89,72,74,43,83
2018-05-05,51,84,65,82,53,29
2018-05-06,56,74,71,73,28,43
2018-05-07,87,79,83,79,37,65
2018-05-08,84,80,73,92,94,89
2018-05-09,94,80,78,85,33,90
2018-05-10,89,83,77,85,75,80
2018-05-11,78,83,78,76,64,68
2018-05-12,58,75,66,74,38,49
2018-05-13,56,81,62,63,19,49
2018-05-14,85,96,100,90,66,87
2018-05-15,96,92,91,100,86,77
2018-05-16,100,86,89,76,57,78
2018-05-17,90,77,85,83,100,84
2018-05-18,81,79,88,89,47,69
2018-05-19,62,59,59,66,10,54
2018-05-20,59,79,78,71,34,43
2018-05-21,84,81,86,90,54,67
2018-05-22,84,87,84,84,98,76
2018-05-23,85,79,79,85,54,85
2018-05-24,84,80,90,87,46,80
2018-05-25,73,76,83,87,61,68
2018-05-26,60,67,67,73,10,45
2018-05-27,57,73,68,69,19,38
2018-05-28,74,85,93,89,30,51
2018-05-29,80,82,89,89,74,81
2018-05-30,83,95,88,89,33,91
2018-05-31,88,85,96,91,80,94
2018-06-01,91,82,53,96,30,67
2018-06-02,71,76,58,92,17,54
2018-06-03,78,86,61,93,13,49
2018-06-04,100,83,63,81,31,98
2018-06-05,99,100,68,100,54,94
2018-06-06,98,80,68,98,40,71
2018-06-07,92,89,67,99,66,90
2018-06-08,91,81,64,80,66,88
2018-06-09,67,71,56,91,17,46
2018-06-10,68,84,61,78,27,48
2018-06-11,92,88,70,88,30,83
2018-06-12,92,92,63,92,71,84
2018-06-13,94,84,65,96,35,81
2018-06-14,94,91,58,85,31,98
2018-06-15,73,74,58,87,18,88
2018-06-16,59,65,44,79,10,53
2018-06-17,59,77,53,75,16,58
2018-06-18,83,83,60,94,59,84
2018-06-19,89,80,66,95,28,85
2018-06-20,93,85,60,90,60,84
2018-06-21,82,91,54,89,37,100
2018-06-22,77,79,100,78,27,73
2018-06-23,62,69,64,89,20,44
2018-06-24,64,82,60,70,29,53
2018-06-25,87,79,71,100,56,78
2018-06-26,84,90,73,89,50,87
2018-06-27,83,78,57,87,42,94
2018-06-28,86,89,63,84,97,85
2018-06-29,79,78,65,84,100,89
2018-06-30,65,76,53,65,33,50
