Date,property,portfolio,WPG,investment,securities,Land Securities Group
2017-01-01,60,46,79,46,21,0.0
2017-01-02,74,77,37,63,52,0.0
2017-01-03,89,87,99,77,73,0.0
2017-01-04,96,89,49,83,73,0.0
2017-01-05,98,96,77,89,78,0.0
2017-01-06,84,79,71,82,77,0.0
2017-01-07,71,57,25,58,29,0.0
2017-01-08,70,61,40,58,17,0.0
2017-01-09,92,83,35,87,81,0.0
2017-01-10,95,86,43,89,93,0.0
2017-01-11,93,85,82,90,78,0.0
2017-01-12,91,91,84,93,91,0.0
2017-01-13,87,80,63,78,66,0.0
2017-01-14,65,55,100,51,33,58.0
2017-01-15,74,60,54,58,30,0.0
2017-01-16,90,87,56,84,76,100.0
2017-01-17,97,100,77,93,96,0.0
2017-01-18,94,92,81,95,87,49.0
2017-01-19,96,90,77,98,84,0.0
2017-01-20,83,85,76,89,86,52.0
2017-01-21,74,60,69,54,34,0.0
2017-01-22,76,70,78,62,39,0.0
2017-01-23,98,98,72,89,91,0.0
2017-01-24,100,99,68,100,83,0.0
2017-01-25,94,96,69,89,100,0.0
2017-01-26,94,92,56,82,79,0.0
2017-01-27,92,94,86,89,80,0.0
2017-01-28,69,56,59,56,34,0.0
2017-01-29,75,63,29,61,48,0.0
2017-01-30,98,92,72,88,82,0.0
2017-01-31,100,98,60,98,93,49.0
2017-02-01,90,90,54,90,84,0.0
2017-02-02,98,92,72,84,93,52.0
2017-02-03,87,84,95,83,89,0.0
2017-02-04,75,59,53,63,42,0.0
2017-02-05,69,56,96,62,41,0.0
2017-02-06,94,89,94,89,87,0.0
2017-02-07,94,94,75,85,98,0.0
2017-02-08,98,84,60,91,96,0.0
2017-02-09,91,93,66,82,91,0.0
2017-02-10,86,71,78,77,83,0.0
2017-02-11,72,47,58,57,32,0.0
2017-02-12,75,68,80,64,37,0.0
2017-02-13,89,81,69,89,96,100.0
2017-02-14,87,84,91,90,93,51.0
2017-02-15,94,95,91,100,89,0.0
2017-02-16,94,93,87,98,82,0.0
2017-02-17,88,90,76,83,85,0.0
2017-02-18,71,59,69,57,34,0.0
2017-02-19,73,60,58,59,39,0.0
2017-02-20,94,90,87,89,79,52.0
2017-02-21,99,94,50,92,95,0.0
2017-02-22,94,100,100,98,100,0.0
2017-02-23,90,96,81,88,91,0.0
2017-02-24,88,84,53,81,70,0.0
2017-02-25,71,63,70,57,40,0.0
2017-02-26,77,64,68,63,25,57.0
2017-02-27,100,91,74,94,90,0.0
2017-02-28,99,97,93,94,85,0.0
2017-03-01,94,90,91,88,92,0.0
2017-03-02,92,85,80,92,86,0.0
2017-03-03,87,80,92,80,82,0.0
2017-03-04,68,65,50,59,38,0.0
2017-03-05,77,55,51,70,41,0.0
2017-03-06,91,100,20,85,87,0.0
2017-03-07,94,80,82,95,92,0.0
2017-03-08,100,88,49,93,91,0.0
2017-03-09,91,90,73,88,94,0.0
2017-03-10,82,77,93,81,81,0.0
2017-03-11,67,43,42,53,37,100.0
2017-03-12,69,62,62,56,40,0.0
2017-03-13,92,75,76,88,74,0.0
2017-03-14,90,78,60,84,91,0.0
2017-03-15,92,92,82,90,93,87.0
2017-03-16,93,91,87,87,90,0.0
2017-03-17,82,78,100,82,82,93.0
2017-03-18,67,51,62,56,27,0.0
2017-03-19,72,50,46,62,37,0.0
2017-03-20,98,95,62,97,92,0.0
2017-03-21,91,97,58,92,88,0.0
2017-03-22,94,91,81,100,91,0.0
2017-03-23,88,92,62,89,84,0.0
2017-03-24,84,76,64,79,90,0.0
2017-03-25,69,48,72,57,37,0.0
2017-03-26,75,60,52,65,32,0.0
2017-03-27,96,82,61,89,88,0.0
2017-03-28,92,81,41,98,96,0.0
2017-03-29,97,89,58,87,100,0.0
2017-03-30,93,74,42,89,94,0.0
2017-03-31,82,78,55,75,67,0.0
2017-04-01,71,54,36,53,38,0.0
2017-04-02,71,67,88,60,34,0.0
2017-04-03,95,83,44,91,97,0.0
2017-04-04,98,88,76,94,76,0.0
2017-04-05,98,100,80,100,87,0.0
2017-04-06,95,82,99,95,86,0.0
2017-04-07,87,73,83,78,87,0.0
2017-04-08,68,57,68,59,39,0.0
2017-04-09,71,57,42,63,33,0.0
2017-04-10,98,91,32,97,90,0.0
2017-04-11,98,82,95,95,73,0.0
2017-04-12,95,78,46,89,77,0.0
2017-04-13,91,79,100,86,80,0.0
2017-04-14,82,62,61,66,44,0.0
2017-04-15,70,51,53,51,32,0.0
2017-04-16,70,58,70,60,32,0.0
2017-04-17,89,70,56,83,72,0.0
2017-04-18,96,89,74,95,90,0.0
2017-04-19,92,89,79,87,78,0.0
2017-04-20,92,82,63,98,97,0.0
2017-04-21,89,75,61,77,74,0.0
2017-04-22,70,59,72,48,38,0.0
2017-04-23,72,55,56,64,43,0.0
2017-04-24,94,82,80,96,100,0.0
2017-04-25,96,83,93,88,97,0.0
2017-04-26,100,96,52,89,94,100.0
2017-04-27,95,84,58,90,85,0.0
2017-04-28,83,74,82,81,72,0.0
2017-04-29,67,60,58,54,35,0.0
2017-04-30,69,62,68,56,41,0.0
2017-05-01,94,93,48,85,64,0.0
2017-05-02,97,100,70,97,99,0.0
2017-05-03,94,93,74,93,83,0.0
2017-05-04,92,93,37,96,82,0.0
2017-05-05,89,85,31,84,88,100.0
2017-05-06,72,64,100,57,37,0.0
2017-05-07,72,63,47,63,34,0.0
2017-05-08,100,91,82,91,95,0.0
2017-05-09,99,99,62,100,100,95.0
2017-05-10,93,94,52,93,89,0.0
2017-05-11,93,81,57,96,87,0.0
2017-05-12,87,73,78,83,86,0.0
2017-05-13,71,50,52,55,33,0.0
2017-05-14,71,56,78,57,42,0.0
2017-05-15,95,86,78,90,83,0.0
2017-05-16,94,84,39,92,94,0.0
2017-05-17,96,85,31,93,75,0.0
2017-05-18,90,76,56,87,80,0.0
2017-05-19,85,76,58,83,89,0.0
2017-05-20,67,58,28,59,30,0.0
2017-05-21,70,55,55,58,29,0.0
2017-05-22,96,81,48,85,84,0.0
2017-05-23,87,79,39,86,80,100.0
2017-05-24,95,88,88,86,86,0.0
2017-05-25,89,84,89,84,75,0.0
2017-05-26,83,65,85,72,73,0.0
2017-05-27,65,56,48,50,30,0.0
2017-05-28,71,47,67,53,34,0.0
2017-05-29,79,64,37,75,61,0.0
2017-05-30,96,77,39,82,75,0.0
2017-05-31,95,84,31,92,68,0.0
2017-06-01,97,86,45,87,97,0.0
2017-06-02,86,89,75,83,94,0.0
2017-06-03,70,58,57,58,34,0.0
2017-06-04,72,56,51,60,32,0.0
2017-06-05,93,96,80,95,75,0.0
2017-06-06,94,100,77,93,79,0.0
2017-06-07,90,97,52,90,81,0.0
2017-06-08,86,92,65,83,88,0.0
2017-06-09,87,81,73,82,83,0.0
2017-06-10,68,49,100,56,31,0.0
2017-06-11,73,59,37,62,31,0.0
2017-06-12,95,90,39,100,84,0.0
2017-06-13,93,90,60,98,72,0.0
2017-06-14,91,79,70,91,89,96.0
2017-06-15,91,84,68,88,91,0.0
2017-06-16,82,79,60,81,83,0.0
2017-06-17,65,55,42,61,37,0.0
2017-06-18,68,55,16,68,27,0.0
2017-06-19,93,80,100,96,69,0.0
2017-06-20,96,88,72,96,100,0.0
2017-06-21,96,84,80,93,83,0.0
2017-06-22,94,81,34,97,88,0.0
2017-06-23,90,80,49,75,59,0.0
2017-06-24,71,57,67,54,34,0.0
2017-06-25,74,53,53,56,32,0.0
2017-06-26,100,79,50,85,61,100.0
2017-06-27,96,83,63,93,81,0.0
2017-06-28,98,87,73,98,80,0.0
2017-06-29,93,89,59,89,89,0.0
2017-06-30,89,75,84,87,65,0.0
2017-07-01,71,56,56,54,34,0.0
2017-07-02,72,45,66,53,35,0.0
2017-07-03,90,79,67,79,70,0.0
2017-07-04,82,84,63,80,77,0.0
2017-07-05,96,98,72,98,79,0.0
2017-07-06,98,86,57,98,100,0.0
2017-07-07,91,80,46,85,72,0.0
2017-07-08,73,57,56,58,45,0.0
2017-07-09,75,60,36,65,34,0.0
2017-07-10,97,77,39,92,77,0.0
2017-07-11,93,82,65,100,94,98.0
2017-07-12,90,100,100,91,96,0.0
2017-07-13,94,84,57,88,89,0.0
2017-07-14,86,79,58,92,74,0.0
2017-07-15,72,51,31,59,36,0.0
2017-07-16,75,56,66,60,25,0.0
2017-07-17,89,77,39,96,93,0.0
2017-07-18,98,92,70,89,87,0.0
2017-07-19,95,88,66,92,93,100.0
2017-07-20,93,92,57,99,91,0.0
2017-07-21,93,72,100,85,79,0.0
2017-07-22,75,64,76,65,39,0.0
2017-07-23,73,51,30,59,32,0.0
2017-07-24,95,85,98,93,75,0.0
2017-07-25,95,86,73,100,100,0.0
2017-07-26,100,89,90,100,91,0.0
2017-07-27,95,89,93,96,84,0.0
2017-07-28,91,77,40,89,74,0.0
2017-07-29,74,63,65,57,45,0.0
2017-07-30,77,60,50,61,36,0.0
2017-07-31,98,88,64,93,93,0.0
2017-08-01,99,83,37,98,83,0.0
2017-08-02,100,95,39,100,100,0.0
2017-08-03,98,90,34,96,83,100.0
2017-08-04,90,80,54,91,74,0.0
2017-08-05,78,57,48,60,33,0.0
2017-08-06,75,61,17,69,29,0.0
2017-08-07,100,84,40,95,72,0.0
2017-08-08,98,100,39,99,92,0.0
2017-08-09,96,100,46,92,82,0.0
2017-08-10,96,92,35,97,86,0.0
2017-08-11,89,87,43,86,82,0.0
2017-08-12,68,65,44,64,45,0.0
2017-08-13,73,65,37,61,30,0.0
2017-08-14,96,87,41,86,75,0.0
2017-08-15,97,86,42,95,62,0.0
2017-08-16,96,94,32,90,88,0.0
2017-08-17,92,98,35,91,91,0.0
2017-08-18,92,93,66,84,73,0.0
2017-08-19,69,54,43,63,42,0.0
2017-08-20,71,60,30,65,26,0.0
2017-08-21,95,81,100,90,70,0.0
2017-08-22,97,90,43,100,74,0.0
2017-08-23,97,86,67,97,76,0.0
2017-08-24,95,86,41,95,96,52.0
2017-08-25,86,72,46,74,58,0.0
2017-08-26,65,51,14,53,40,0.0
2017-08-27,68,53,26,64,26,0.0
2017-08-28,93,86,35,88,82,0.0
2017-08-29,97,90,31,95,75,0.0
2017-08-30,97,88,58,100,77,0.0
2017-08-31,96,87,32,94,77,0.0
2017-09-01,89,69,77,71,66,0.0
2017-09-02,69,59,45,54,41,0.0
2017-09-03,71,69,34,54,31,0.0
2017-09-04,79,60,35,69,68,0.0
2017-09-05,96,94,88,80,80,0.0
2017-09-06,96,83,58,85,72,94.0
2017-09-07,100,90,78,89,75,0.0
2017-09-08,87,70,48,82,83,0.0
2017-09-09,64,51,48,54,38,0.0
2017-09-10,67,58,48,59,32,0.0
2017-09-11,93,80,62,78,94,0.0
2017-09-12,94,87,57,90,87,0.0
2017-09-13,94,90,70,91,83,0.0
2017-09-14,94,89,80,86,91,95.0
2017-09-15,86,81,66,74,75,0.0
2017-09-16,67,60,73,55,43,0.0
2017-09-17,71,60,24,59,32,0.0
2017-09-18,98,81,71,93,100,95.0
2017-09-19,96,100,83,93,93,0.0
2017-09-20,97,89,62,88,87,0.0
2017-09-21,96,86,89,81,91,0.0
2017-09-22,87,71,88,76,78,100.0
2017-09-23,68,54,44,59,33,0.0
2017-09-24,70,61,57,57,35,0.0
2017-09-25,96,79,87,90,72,94.0
2017-09-26,95,87,49,100,97,0.0
2017-09-27,100,87,100,85,79,95.0
2017-09-28,93,92,42,85,83,0.0
2017-09-29,88,79,44,76,76,0.0
2017-09-30,64,60,54,49,29,0.0
2017-10-01,69,59,77,56,29,0.0
2017-10-02,92,91,50,80,58,0.0
2017-10-03,94,92,55,91,88,0.0
2017-10-04,100,91,55,88,100,97.0
2017-10-05,94,92,43,84,77,0.0
2017-10-06,84,81,48,83,71,0.0
2017-10-07,65,65,78,55,40,0.0
2017-10-08,69,62,77,67,44,0.0
2017-10-09,91,85,37,91,93,95.0
2017-10-10,97,90,90,97,88,0.0
2017-10-11,95,96,37,89,82,0.0
2017-10-12,95,97,52,94,83,0.0
2017-10-13,81,86,65,82,73,100.0
2017-10-14,63,61,63,57,34,0.0
2017-10-15,69,61,100,67,33,0.0
2017-10-16,96,95,46,98,86,0.0
2017-10-17,92,94,41,94,83,0.0
2017-10-18,88,100,67,88,84,0.0
2017-10-19,94,95,77,87,80,0.0
2017-10-20,80,78,39,77,57,100.0
2017-10-21,64,49,34,57,29,0.0
2017-10-22,68,65,55,59,35,0.0
2017-10-23,90,85,40,91,77,0.0
2017-10-24,98,91,61,94,91,0.0
2017-10-25,92,94,57,100,100,0.0
2017-10-26,91,90,54,88,79,0.0
2017-10-27,84,86,69,76,78,100.0
2017-10-28,65,60,67,58,39,0.0
2017-10-29,65,59,61,60,37,0.0
2017-10-30,90,98,75,97,82,0.0
2017-10-31,87,89,54,93,91,0.0
2017-11-01,99,91,33,98,87,0.0
2017-11-02,100,94,52,100,81,0.0
2017-11-03,91,81,63,85,76,0.0
2017-11-04,72,68,82,57,36,0.0
2017-11-05,70,61,48,65,31,0.0
2017-11-06,96,89,70,93,80,0.0
2017-11-07,94,100,84,94,96,0.0
2017-11-08,98,100,60,96,88,0.0
2017-11-09,96,89,50,92,85,0.0
2017-11-10,81,88,44,82,87,0.0
2017-11-11,64,58,73,56,33,0.0
2017-11-12,67,57,100,63,34,0.0
2017-11-13,94,100,52,92,74,0.0
2017-11-14,96,90,70,95,79,0.0
2017-11-15,95,94,49,91,100,88.0
2017-11-16,91,95,63,89,93,0.0
2017-11-17,86,78,51,81,89,93.0
2017-11-18,64,54,41,57,40,0.0
2017-11-19,68,63,47,60,29,100.0
2017-11-20,90,99,52,91,76,0.0
2017-11-21,88,92,56,93,77,0.0
2017-11-22,83,92,42,83,77,0.0
2017-11-23,72,69,51,75,71,0.0
2017-11-24,63,69,55,64,55,0.0
2017-11-25,59,62,68,54,39,0.0
2017-11-26,67,64,43,63,36,0.0
2017-11-27,87,95,48,93,83,0.0
2017-11-28,92,99,72,92,84,0.0
2017-11-29,95,97,35,99,81,0.0
2017-11-30,92,100,71,97,84,0.0
2017-12-01,74,82,68,72,76,0.0
2017-12-02,58,64,48,55,39,0.0
2017-12-03,63,67,58,61,28,0.0
2017-12-04,82,97,64,90,95,0.0
2017-12-05,83,90,46,89,95,0.0
2017-12-06,81,89,57,95,96,0.0
2017-12-07,81,96,52,93,92,0.0
2017-12-08,73,79,64,82,84,0.0
2017-12-09,53,59,60,60,43,0.0
2017-12-10,59,62,53,60,33,0.0
2017-12-11,81,82,78,100,90,100.0
2017-12-12,78,100,83,96,79,0.0
2017-12-13,75,91,55,91,79,0.0
2017-12-14,75,96,57,83,85,0.0
2017-12-15,71,84,39,77,62,0.0
2017-12-16,53,57,55,52,41,0.0
2017-12-17,57,52,76,62,29,0.0
2017-12-18,74,91,66,83,97,0.0
2017-12-19,77,77,72,94,100,0.0
2017-12-20,80,90,79,83,91,0.0
2017-12-21,78,76,56,75,83,0.0
2017-12-22,67,60,64,71,83,0.0
2017-12-23,54,46,41,52,38,0.0
2017-12-24,48,44,42,44,20,0.0
2017-12-25,44,40,42,52,28,0.0
2017-12-26,65,61,58,58,78,0.0
2017-12-27,92,69,61,72,78,0.0
2017-12-28,100,69,56,79,86,0.0
2017-12-29,84,69,63,64,73,0.0
2017-12-30,65,54,61,50,36,0.0
2017-12-31,60,49,100,53,18,0.0
2018-01-01,67,58,70,56,53,0.0
2018-01-02,86,82,54,84,79,0.0
2018-01-03,89,89,69,94,91,0.0
2018-01-04,86,83,73,93,91,100.0
2018-01-05,85,87,100,91,76,0.0
2018-01-06,64,64,68,59,49,0.0
2018-01-07,74,66,50,69,36,0.0
2018-01-08,88,94,71,96,91,0.0
2018-01-09,89,91,48,97,90,98.0
2018-01-10,94,95,96,96,98,99.0
2018-01-11,87,95,83,98,95,98.0
2018-01-12,82,84,49,90,75,0.0
2018-01-13,68,67,77,58,42,0.0
2018-01-14,66,56,57,62,30,0.0
2018-01-15,84,85,36,89,85,0.0
2018-01-16,90,97,71,100,86,0.0
2018-01-17,89,91,66,99,86,0.0
2018-01-18,89,91,47,90,100,0.0
2018-01-19,84,79,41,83,83,0.0
2018-01-20,66,60,54,58,51,0.0
2018-01-21,70,58,40,61,36,0.0
2018-01-22,92,84,85,91,91,0.0
2018-01-23,93,94,46,95,98,0.0
2018-01-24,92,84,97,96,94,0.0
2018-01-25,89,85,71,83,91,0.0
2018-01-26,80,77,82,79,59,0.0
2018-01-27,70,57,45,59,43,0.0
2018-01-28,73,57,36,66,38,0.0
2018-01-29,97,89,82,89,90,0.0
2018-01-30,100,100,58,99,83,0.0
2018-01-31,94,97,74,92,86,0.0
2018-02-01,98,89,38,97,79,0.0
2018-02-02,93,87,63,94,74,100.0
2018-02-03,72,59,66,63,38,0.0
2018-02-04,73,64,77,65,38,0.0
2018-02-05,96,91,69,100,85,0.0
2018-02-06,97,94,61,99,100,0.0
2018-02-07,94,100,64,90,82,0.0
2018-02-08,94,89,100,95,85,0.0
2018-02-09,88,87,44,85,86,0.0
2018-02-10,72,53,61,59,36,0.0
2018-02-11,76,52,39,66,37,0.0
2018-02-12,97,90,50,89,78,0.0
2018-02-13,100,84,66,91,77,0.0
2018-02-14,86,78,66,90,81,0.0
2018-02-15,93,86,19,89,80,0.0
2018-02-16,86,82,59,75,65,0.0
2018-02-17,73,49,87,54,36,0.0
2018-02-18,77,56,62,68,25,0.0
2018-02-19,95,83,38,89,65,0.0
2018-02-20,100,87,49,93,83,0.0
2018-02-21,95,83,30,85,74,95.0
2018-02-22,98,91,49,90,84,0.0
2018-02-23,88,72,63,83,73,0.0
2018-02-24,73,60,52,57,40,0.0
2018-02-25,72,60,55,61,30,0.0
2018-02-26,97,88,52,89,80,0.0
2018-02-27,98,92,85,98,87,0.0
2018-02-28,95,91,44,82,73,0.0
2018-03-01,90,92,59,89,63,0.0
2018-03-02,85,73,71,78,57,0.0
2018-03-03,73,60,48,57,28,0.0
2018-03-04,72,60,42,64,28,0.0
2018-03-05,93,80,100,88,77,0.0
2018-03-06,95,84,48,94,66,100.0
2018-03-07,94,100,68,89,71,0.0
2018-03-08,92,96,84,95,71,0.0
2018-03-09,92,96,76,84,54,0.0
2018-03-10,71,59,57,58,28,0.0
2018-03-11,76,66,90,62,25,0.0
2018-03-12,100,81,41,94,73,0.0
2018-03-13,98,94,64,100,76,0.0
2018-03-14,91,91,71,94,76,0.0
2018-03-15,94,89,34,91,69,0.0
2018-03-16,83,79,83,75,65,0.0
2018-03-17,70,55,73,53,37,0.0
2018-03-18,72,55,34,65,27,0.0
2018-03-19,96,93,49,94,82,0.0
2018-03-20,96,95,45,92,71,0.0
2018-03-21,94,89,84,92,72,0.0
2018-03-22,95,90,50,95,100,0.0
2018-03-23,90,81,72,77,76,0.0
2018-03-24,74,58,93,58,33,0.0
2018-03-25,77,60,89,62,33,0.0
2018-03-26,97,78,42,92,98,0.0
2018-03-27,99,89,54,96,79,0.0
2018-03-28,95,83,59,93,64,0.0
2018-03-29,93,82,73,90,61,0.0
2018-03-30,84,63,65,68,42,0.0
2018-03-31,69,45,45,55,30,0.0
2018-04-01,65,56,67,62,29,0.0
2018-04-02,89,78,77,83,81,0.0
2018-04-03,97,93,53,99,81,0.0
2018-04-04,92,89,72,86,100,0.0
2018-04-05,93,95,61,85,91,0.0
2018-04-06,95,77,77,86,71,0.0
2018-04-07,73,59,91,59,44,0.0
2018-04-08,75,57,34,65,33,0.0
2018-04-09,95,88,50,92,80,0.0
2018-04-10,97,93,36,91,77,0.0
2018-04-11,92,100,62,84,84,0.0
2018-04-12,94,95,73,86,90,0.0
2018-04-13,84,81,83,80,74,0.0
2018-04-14,66,52,70,55,35,0.0
2018-04-15,76,61,46,63,36,0.0
2018-04-16,96,98,73,100,73,94.0
2018-04-17,97,98,47,100,83,0.0
2018-04-18,88,93,100,96,66,0.0
2018-04-19,90,85,80,88,86,0.0
2018-04-20,83,76,49,77,74,0.0
2018-04-21,65,58,90,60,35,0.0
2018-04-22,70,62,50,62,24,0.0
2018-04-23,94,91,58,90,71,0.0
2018-04-24,90,98,62,96,76,0.0
2018-04-25,90,100,46,85,74,0.0
2018-04-26,88,92,50,86,75,0.0
2018-04-27,83,84,49,79,67,100.0
2018-04-28,67,63,91,53,34,0.0
2018-04-29,67,58,69,61,35,0.0
2018-04-30,100,97,75,89,72,97.0
2018-05-01,98,95,59,93,68,0.0
2018-05-02,99,100,59,100,85,0.0
2018-05-03,92,92,90,96,88,0.0
2018-05-04,92,85,85,88,92,0.0
2018-05-05,68,53,51,64,44,0.0
2018-05-06,69,56,65,63,33,0.0
2018-05-07,93,92,59,98,82,0.0
2018-05-08,97,91,100,99,88,0.0
2018-05-09,98,98,38,95,99,0.0
2018-05-10,93,88,51,96,100,0.0
2018-05-11,90,75,76,89,85,0.0
2018-05-12,69,53,85,62,46,0.0
2018-05-13,67,54,68,59,31,100.0
2018-05-14,95,98,50,99,87,0.0
2018-05-15,96,93,88,98,85,0.0
2018-05-16,92,88,44,96,91,0.0
2018-05-17,92,98,95,90,88,0.0
2018-05-18,84,85,43,84,72,0.0
2018-05-19,60,52,82,53,39,0.0
2018-05-20,70,56,87,67,26,0.0
2018-05-21,97,84,45,95,91,0.0
2018-05-22,94,91,47,93,90,0.0
2018-05-23,92,95,50,97,81,87.0
2018-05-24,92,89,33,87,81,0.0
2018-05-25,81,76,57,80,70,0.0
2018-05-26,65,57,31,53,36,0.0
2018-05-27,68,65,42,62,34,0.0
2018-05-28,77,76,45,81,69,0.0
2018-05-29,95,87,38,86,89,0.0
2018-05-30,100,85,62,92,94,0.0
2018-05-31,98,89,39,88,87,0.0
2018-06-01,88,79,66,82,85,0.0
2018-06-02,73,52,100,66,40,0.0
2018-06-03,79,57,54,70,37,0.0
2018-06-04,96,92,46,96,81,0.0
2018-06-05,100,94,71,100,86,0.0
2018-06-06,100,100,42,97,98,0.0
2018-06-07,93,80,83,98,94,0.0
2018-06-08,86,85,93,87,66,0.0
2018-06-09,70,53,64,60,47,0.0
2018-06-10,76,56,74,66,33,0.0
2018-06-11,95,80,61,92,91,93.0
2018-06-12,96,90,62,97,100,0.0
2018-06-13,96,78,43,96,84,0.0
2018-06-14,92,78,54,92,82,0.0
2018-06-15,87,71,58,90,80,0.0
2018-06-16,69,52,30,54,27,0.0
2018-06-17,70,47,68,58,34,0.0
2018-06-18,98,79,50,93,85,95.0
2018-06-19,92,83,66,94,79,0.0
2018-06-20,95,81,55,96,97,0.0
2018-06-21,93,77,63,96,75,96.0
2018-06-22,89,65,52,84,80,100.0
2018-06-23,67,48,82,57,36,0.0
2018-06-24,71,51,58,59,27,0.0
2018-06-25,95,80,70,90,85,0.0
2018-06-26,93,74,62,100,90,94.0
2018-06-27,94,82,50,89,84,0.0
2018-06-28,93,81,76,89,86,96.0
