Date,property,portfolio,WPG,investment,securities,Land Securities Group
2018-06-29,96,67,76,84,74,0.0
2018-06-30,74,50,39,51,37,0.0
2018-07-01,72,58,34,55,26,0.0
2018-07-02,92,88,56,86,74,0.0
2018-07-03,88,83,69,78,72,84.0
2018-07-04,80,91,49,73,75,0.0
2018-07-05,96,93,80,82,74,87.0
2018-07-06,84,69,44,73,78,0.0
2018-07-07,70,53,39,46,28,0.0
2018-07-08,75,66,50,61,30,0.0
2018-07-09,97,94,69,95,81,0.0
2018-07-10,92,88,58,81,94,0.0
2018-07-11,91,88,100,75,74,0.0
2018-07-12,92,85,45,85,88,0.0
2018-07-13,90,86,87,74,80,0.0
2018-07-14,71,61,61,58,35,0.0
2018-07-15,75,65,41,60,33,0.0
2018-07-16,97,82,84,86,69,0.0
2018-07-17,96,87,66,92,87,0.0
2018-07-18,95,100,53,100,89,0.0
2018-07-19,96,87,49,91,86,0.0
2018-07-20,89,80,69,75,79,0.0
2018-07-21,70,59,67,55,32,100.0
2018-07-22,76,56,41,64,34,0.0
2018-07-23,97,86,79,85,85,0.0
2018-07-24,97,95,48,90,90,0.0
2018-07-25,97,92,62,85,95,0.0
2018-07-26,92,91,75,81,100,0.0
2018-07-27,90,89,63,70,81,0.0
2018-07-28,72,52,79,57,33,0.0
2018-07-29,73,61,55,58,34,0.0
2018-07-30,99,98,44,85,76,0.0
2018-07-31,100,99,60,89,86,0.0
2018-08-01,94,83,49,91,92,0.0
2018-08-02,91,100,51,95,100,0.0
2018-08-03,91,85,56,79,91,0.0
2018-08-04,74,55,38,68,33,0.0
2018-08-05,78,63,65,61,38,0.0
2018-08-06,96,86,37,94,99,99.0
2018-08-07,93,90,100,100,84,0.0
2018-08-08,94,90,49,86,91,0.0
2018-08-09,91,97,57,83,95,0.0
2018-08-10,89,79,59,73,73,0.0
2018-08-11,71,59,38,59,37,0.0
2018-08-12,75,69,51,61,32,0.0
2018-08-13,99,85,49,94,81,0.0
2018-08-14,95,90,57,93,77,0.0
2018-08-15,94,80,93,77,65,0.0
2018-08-16,93,90,67,82,77,100.0
2018-08-17,84,79,47,79,81,51.0
2018-08-18,73,52,97,64,36,0.0
2018-08-19,75,56,53,59,29,0.0
2018-08-20,94,78,89,84,82,0.0
2018-08-21,94,100,42,88,96,0.0
2018-08-22,97,87,51,89,70,0.0
2018-08-23,92,86,42,88,93,0.0
2018-08-24,89,77,51,78,78,0.0
2018-08-25,66,52,47,59,34,0.0
2018-08-26,70,52,53,54,32,0.0
2018-08-27,93,79,58,97,78,0.0
2018-08-28,100,89,45,88,83,0.0
2018-08-29,98,92,49,95,94,0.0
2018-08-30,90,90,82,95,86,0.0
2018-08-31,88,79,59,78,77,0.0
2018-09-01,68,58,42,53,35,0.0
2018-09-02,71,64,47,62,40,0.0
2018-09-03,83,66,55,74,74,0.0
2018-09-04,96,87,28,89,92,0.0
2018-09-05,100,99,100,92,97,0.0
2018-09-06,100,94,48,91,91,0.0
2018-09-07,88,86,60,83,85,0.0
2018-09-08,74,60,89,58,36,0.0
2018-09-09,70,59,69,63,38,0.0
2018-09-10,92,90,55,90,93,96.0
2018-09-11,97,87,60,91,94,96.0
2018-09-12,97,86,76,90,100,0.0
2018-09-13,93,86,44,85,59,0.0
2018-09-14,87,87,58,79,84,0.0
2018-09-15,67,65,65,53,44,0.0
2018-09-16,69,63,50,65,42,0.0
2018-09-17,98,96,53,91,97,0.0
2018-09-18,96,100,56,88,89,0.0
2018-09-19,99,95,56,86,100,0.0
2018-09-20,88,98,91,84,85,0.0
2018-09-21,86,78,70,85,73,0.0
2018-09-22,66,59,70,59,38,0.0
2018-09-23,67,71,59,66,33,0.0
2018-09-24,93,96,40,100,93,0.0
2018-09-25,95,90,32,98,83,0.0
2018-09-26,96,98,64,96,91,0.0
2018-09-27,96,93,81,86,96,0.0
2018-09-28,84,92,91,82,87,100.0
2018-09-29,65,60,97,60,51,0.0
2018-09-30,66,64,59,61,38,0.0
2018-10-01,95,89,66,85,90,0.0
2018-10-02,100,95,54,89,71,0.0
2018-10-03,99,90,73,89,86,0.0
2018-10-04,99,92,55,93,87,0.0
2018-10-05,91,81,49,80,82,0.0
2018-10-06,66,60,76,50,39,97.0
2018-10-07,63,63,52,61,43,0.0
2018-10-08,96,97,47,85,83,86.0
2018-10-09,99,92,52,89,100,0.0
2018-10-10,96,92,59,90,91,0.0
2018-10-11,96,94,56,95,78,0.0
2018-10-12,92,90,71,88,85,0.0
2018-10-13,70,58,55,61,37,0.0
2018-10-14,76,59,92,67,35,0.0
2018-10-15,100,98,100,96,87,87.0
2018-10-16,99,95,55,98,96,0.0
2018-10-17,96,88,63,91,90,0.0
2018-10-18,91,100,60,81,66,0.0
2018-10-19,85,84,63,76,74,0.0
2018-10-20,68,65,37,56,42,100.0
2018-10-21,70,64,63,64,44,0.0
2018-10-22,97,88,71,100,87,0.0
2018-10-23,99,95,43,94,90,0.0
2018-10-24,91,88,65,95,88,0.0
2018-10-25,94,94,83,88,87,0.0
2018-10-26,83,83,49,76,75,0.0
2018-10-27,61,58,70,57,39,0.0
2018-10-28,69,51,70,54,35,0.0
2018-10-29,93,95,75,93,68,0.0
2018-10-30,94,96,85,91,98,84.0
2018-10-31,87,99,56,83,81,0.0
2018-11-01,100,82,68,86,85,0.0
2018-11-02,87,77,56,84,80,0.0
2018-11-03,72,62,56,57,45,0.0
2018-11-04,73,64,53,61,36,0.0
2018-11-05,98,88,96,96,98,0.0
2018-11-06,93,83,56,83,90,0.0
2018-11-07,93,84,39,81,73,0.0
2018-11-08,91,90,67,84,65,0.0
2018-11-09,86,76,63,78,87,0.0
2018-11-10,64,59,69,58,45,58.0
2018-11-11,68,56,77,64,36,0.0
2018-11-12,88,89,71,81,82,0.0
2018-11-13,97,88,68,97,94,0.0
2018-11-14,92,99,81,100,80,0.0
2018-11-15,93,85,81,86,79,0.0
2018-11-16,83,84,62,75,72,53.0
2018-11-17,68,57,98,61,41,0.0
2018-11-18,66,65,100,66,38,0.0
2018-11-19,97,94,60,94,84,0.0
2018-11-20,88,92,60,88,77,0.0
2018-11-21,79,82,61,80,84,0.0
2018-11-22,68,67,82,68,73,0.0
2018-11-23,65,64,99,62,48,0.0
2018-11-24,64,56,49,53,26,0.0
2018-11-25,67,57,80,56,43,0.0
2018-11-26,90,93,46,92,78,0.0
2018-11-27,96,95,35,97,94,100.0
2018-11-28,92,97,36,95,100,0.0
2018-11-29,93,100,65,96,75,0.0
2018-11-30,87,89,57,85,86,0.0
2018-12-01,69,71,33,56,31,0.0
2018-12-02,64,62,32,59,32,0.0
2018-12-03,94,88,31,97,90,0.0
2018-12-04,100,93,49,89,100,0.0
2018-12-05,90,89,46,100,90,0.0
2018-12-06,93,91,56,91,89,0.0
2018-12-07,84,76,48,82,73,0.0
2018-12-08,67,57,44,58,38,0.0
2018-12-09,67,60,49,60,40,0.0
2018-12-10,97,100,56,87,95,0.0
2018-12-11,95,84,20,93,84,0.0
2018-12-12,90,87,38,88,90,0.0
2018-12-13,90,92,51,91,89,0.0
2018-12-14,81,76,65,73,68,0.0
2018-12-15,64,53,100,54,47,0.0
2018-12-16,62,49,37,51,29,0.0
2018-12-17,87,79,38,79,78,100.0
2018-12-18,88,87,48,84,92,0.0
2018-12-19,92,84,52,89,78,0.0
2018-12-20,84,78,47,73,98,0.0
2018-12-21,71,63,85,69,77,0.0
2018-12-22,56,40,24,44,34,0.0
2018-12-23,55,44,36,48,21,0.0
2018-12-24,55,50,25,52,66,0.0
2018-12-25,47,42,18,49,29,0.0
2018-12-26,72,54,42,60,50,0.0
2018-12-27,86,59,44,68,58,0.0
2018-12-28,81,60,42,69,60,0.0
2018-12-29,73,49,59,55,38,0.0
2018-12-30,73,48,53,51,25,0.0
2018-12-31,75,50,51,66,65,0.0
2019-01-01,72,47,66,53,38,0.0
2019-01-02,89,83,78,79,67,0.0
2019-01-03,92,99,72,89,81,0.0
2019-01-04,91,82,43,90,74,0.0
2019-01-05,73,68,71,56,40,0.0
2019-01-06,73,58,65,62,35,0.0
2019-01-07,91,98,54,87,89,0.0
2019-01-08,94,96,77,92,97,0.0
2019-01-09,99,99,45,90,77,0.0
2019-01-10,96,91,70,92,78,0.0
2019-01-11,89,98,60,91,69,0.0
2019-01-12,69,55,64,58,36,0.0
2019-01-13,70,57,41,65,27,0.0
2019-01-14,92,90,84,82,85,100.0
2019-01-15,97,95,100,94,96,0.0
2019-01-16,95,94,97,94,100,0.0
2019-01-17,94,90,85,97,99,0.0
2019-01-18,91,92,92,92,92,0.0
2019-01-19,73,52,59,56,43,0.0
2019-01-20,74,56,79,65,31,0.0
2019-01-21,93,86,69,83,77,0.0
2019-01-22,94,92,52,92,81,0.0
2019-01-23,98,87,67,98,86,0.0
2019-01-24,98,91,40,98,88,100.0
2019-01-25,89,81,54,80,81,0.0
2019-01-26,68,58,55,58,25,0.0
2019-01-27,77,70,59,67,37,0.0
2019-01-28,97,97,67,97,89,0.0
2019-01-29,100,88,88,100,93,0.0
2019-01-30,98,100,80,92,75,0.0
2019-01-31,95,88,64,89,90,0.0
2019-02-01,90,94,96,94,85,0.0
2019-02-02,75,65,69,67,39,0.0
2019-02-03,74,52,100,64,33,0.0
2019-02-04,97,97,57,89,90,0.0
2019-02-05,99,98,61,94,90,88.0
2019-02-06,97,100,70,94,83,0.0
2019-02-07,94,83,42,99,100,0.0
2019-02-08,95,87,73,89,75,0.0
2019-02-09,71,52,52,67,31,0.0
2019-02-10,74,57,51,65,36,0.0
2019-02-11,97,96,80,96,97,0.0
2019-02-12,95,93,52,98,90,86.0
2019-02-13,95,90,76,98,91,0.0
2019-02-14,89,89,46,94,90,0.0
2019-02-15,84,85,69,80,94,0.0
2019-02-16,71,65,45,65,43,0.0
2019-02-17,78,62,40,68,43,100.0
2019-02-18,93,89,64,90,82,0.0
2019-02-19,97,100,35,96,92,86.0
2019-02-20,95,95,53,100,78,87.0
2019-02-21,100,98,60,93,97,0.0
2019-02-22,91,95,48,87,81,0.0
2019-02-23,77,62,94,69,38,0.0
2019-02-24,75,59,65,66,39,0.0
2019-02-25,97,91,84,94,84,0.0
2019-02-26,97,91,70,98,92,0.0
2019-02-27,100,94,51,91,85,84.0
2019-02-28,94,91,54,92,91,0.0
2019-03-01,89,76,68,85,74,0.0
2019-03-02,69,63,58,63,41,0.0
2019-03-03,72,62,55,61,31,0.0
2019-03-04,96,89,56,92,77,0.0
2019-03-05,100,90,73,96,100,0.0
2019-03-06,95,97,85,97,81,0.0
2019-03-07,91,94,73,93,80,0.0
2019-03-08,83,83,84,81,78,0.0
2019-03-09,73,67,56,61,46,0.0
2019-03-10,69,68,61,60,29,0.0
2019-03-11,94,100,49,92,100,0.0
2019-03-12,96,89,51,94,90,97.0
2019-03-13,90,88,14,91,85,0.0
2019-03-14,92,93,49,83,83,0.0
2019-03-15,82,82,56,85,81,0.0
2019-03-16,68,58,40,57,46,0.0
2019-03-17,71,59,47,61,35,0.0
2019-03-18,89,82,52,94,88,0.0
2019-03-19,97,82,73,98,89,0.0
2019-03-20,94,86,56,90,83,0.0
2019-03-21,86,91,100,90,75,0.0
2019-03-22,90,79,62,83,85,0.0
2019-03-23,69,50,96,56,29,0.0
2019-03-24,74,62,57,69,37,0.0
2019-03-25,95,92,56,100,94,0.0
2019-03-26,95,88,52,93,89,0.0
2019-03-27,98,89,63,96,89,0.0
2019-03-28,92,92,49,96,94,100.0
2019-03-29,88,65,73,89,81,0.0
2019-03-30,73,60,45,62,41,0.0
2019-03-31,73,52,44,64,37,0.0
2019-04-01,97,80,72,99,100,
2019-04-02,100,96,73,98,89,
2019-04-03,97,100,58,95,90,
2019-04-04,98,89,62,100,81,
2019-04-05,92,82,80,82,79,
2019-04-06,69,50,78,59,31,
2019-04-07,75,63,71,64,36,
2019-04-08,97,92,72,92,73,
2019-04-09,92,91,100,99,89,
2019-04-10,98,92,54,99,80,
2019-04-11,95,92,88,93,81,
2019-04-12,89,80,53,78,70,
2019-04-13,73,60,55,61,35,
2019-04-14,71,56,66,60,31,
2019-04-15,95,86,88,85,69,
2019-04-16,93,94,44,93,84,
2019-04-17,89,83,87,95,65,
2019-04-18,85,75,39,82,74,
2019-04-19,75,66,91,65,38,
2019-04-20,65,49,83,55,38,
2019-04-21,65,49,58,67,25,
2019-04-22,88,88,43,80,58,
2019-04-23,91,87,40,92,83,
2019-04-24,95,91,70,93,80,
2019-04-25,90,86,48,93,75,
2019-04-26,86,76,87,85,73,
2019-04-27,71,57,45,57,39,
2019-04-28,69,59,45,68,32,
2019-04-29,94,100,75,89,70,
2019-04-30,98,97,63,97,86,
2019-05-01,100,55,20,89,83,0.0
2019-05-02,96,59,44,93,98,0.0
2019-05-03,91,55,33,88,81,0.0
2019-05-04,73,37,50,58,40,0.0
2019-05-05,77,33,49,63,37,0.0
2019-05-06,94,46,25,83,76,0.0
2019-05-07,95,60,72,92,97,0.0
2019-05-08,99,64,42,90,91,0.0
2019-05-09,95,50,64,100,89,0.0
2019-05-10,87,50,50,81,78,0.0
2019-05-11,69,32,30,52,39,0.0
2019-05-12,69,32,37,59,24,0.0
2019-05-13,97,57,70,90,91,0.0
2019-05-14,97,53,41,93,89,0.0
2019-05-15,96,51,32,95,82,0.0
2019-05-16,94,52,61,89,83,0.0
2019-05-17,87,56,40,81,69,0.0
2019-05-18,69,32,47,55,30,0.0
2019-05-19,75,29,36,61,37,0.0
2019-05-20,93,54,35,84,78,0.0
2019-05-21,96,56,22,95,81,0.0
2019-05-22,93,55,53,91,85,0.0
2019-05-23,86,50,58,81,92,0.0
2019-05-24,88,52,37,75,92,0.0
2019-05-25,67,34,100,55,42,0.0
2019-05-26,70,33,58,57,30,0.0
2019-05-27,78,47,51,68,76,0.0
2019-05-28,98,54,40,83,100,100.0
2019-05-29,94,48,31,81,84,0.0
2019-05-30,92,74,38,90,89,0.0
2019-05-31,91,100,46,74,77,0.0
2019-06-01,72,65,40,59,35,0.0
2019-06-02,74,66,53,61,35,0.0
2019-06-03,97,87,69,86,72,0.0
2019-06-04,97,98,66,97,76,0.0
2019-06-05,92,92,65,92,51,0.0
2019-06-06,92,87,79,93,77,0.0
2019-06-07,86,82,50,94,72,0.0
2019-06-08,68,65,71,63,37,0.0
2019-06-09,71,55,55,66,32,0.0
2019-06-10,95,84,64,96,79,0.0
2019-06-11,98,89,69,92,76,0.0
2019-06-12,96,88,57,90,70,0.0
2019-06-13,91,85,48,91,78,0.0
2019-06-14,91,81,67,84,72,0.0
2019-06-15,74,54,65,61,29,0.0
2019-06-16,68,55,84,64,33,0.0
2019-06-17,98,87,88,98,68,100.0
2019-06-18,98,89,61,100,87,0.0
2019-06-19,98,100,70,99,100,0.0
2019-06-20,100,93,80,88,82,0.0
2019-06-21,91,75,46,96,81,0.0
2019-06-22,69,56,66,58,34,0.0
2019-06-23,79,62,46,65,28,0.0
2019-06-24,99,80,84,87,85,0.0
2019-06-25,97,85,66,96,82,0.0
2019-06-26,98,80,100,90,77,0.0
2019-06-27,90,83,34,97,80,0.0
2019-06-28,90,75,60,75,67,0.0
2019-06-29,74,51,76,58,27,0.0
2019-06-30,75,57,71,61,29,0.0
2019-07-01,92,100,88,86,80,97.0
2019-07-02,89,96,47,84,91,0.0
2019-07-03,86,96,88,90,77,0.0
2019-07-04,76,82,100,81,87,0.0
2019-07-05,76,86,65,86,74,0.0
2019-07-06,65,55,91,65,35,0.0
2019-07-07,68,59,79,67,35,0.0
2019-07-08,92,95,74,96,88,97.0
2019-07-09,100,97,35,100,84,0.0
2019-07-10,89,89,35,99,88,0.0
2019-07-11,89,96,87,100,89,0.0
2019-07-12,85,92,69,89,79,0.0
2019-07-13,68,62,86,60,34,0.0
2019-07-14,71,54,60,71,36,0.0
2019-07-15,92,89,70,95,86,0.0
2019-07-16,92,94,75,91,94,0.0
2019-07-17,91,95,75,98,89,0.0
2019-07-18,89,88,69,97,100,0.0
2019-07-19,83,86,90,85,85,0.0
2019-07-20,70,57,78,62,45,0.0
2019-07-21,67,64,63,59,36,0.0
2019-07-22,89,81,45,94,85,0.0
2019-07-23,90,89,71,89,87,0.0
2019-07-24,86,99,77,89,90,100.0
2019-07-25,88,92,79,93,88,0.0
2019-07-26,81,86,56,82,72,0.0
2019-07-27,68,61,99,55,43,0.0
2019-07-28,72,60,67,61,29,0.0
2019-07-29,94,93,59,89,78,0.0
2019-07-30,89,99,81,91,89,0.0
2019-07-31,91,89,90,91,86,0.0
2019-08-01,88,84,69,86,85,95.0
2019-08-02,86,71,58,75,84,100.0
2019-08-03,74,48,85,56,36,0.0
2019-08-04,73,51,59,62,39,0.0
2019-08-05,92,85,98,82,78,0.0
2019-08-06,92,88,46,83,91,0.0
2019-08-07,92,86,88,82,96,95.0
2019-08-08,88,78,47,79,75,0.0
2019-08-09,90,80,82,77,77,0.0
2019-08-10,73,57,92,61,40,0.0
2019-08-11,74,47,38,60,27,0.0
2019-08-12,92,79,55,83,63,0.0
2019-08-13,99,85,78,96,97,0.0
2019-08-14,97,80,75,88,89,0.0
2019-08-15,95,77,70,83,77,0.0
2019-08-16,87,72,100,85,68,0.0
2019-08-17,70,54,26,59,38,0.0
2019-08-18,79,58,68,63,34,0.0
2019-08-19,97,73,59,100,95,0.0
2019-08-20,100,96,54,100,95,0.0
2019-08-21,96,100,86,89,94,0.0
2019-08-22,99,91,92,97,73,0.0
2019-08-23,89,81,76,78,87,0.0
2019-08-24,72,51,84,53,34,0.0
2019-08-25,69,54,53,67,38,0.0
2019-08-26,93,81,59,82,100,93.0
2019-08-27,98,82,54,87,99,0.0
2019-08-28,98,94,67,89,92,91.0
2019-08-29,94,82,89,87,73,0.0
2019-08-30,90,86,50,77,75,0.0
2019-08-31,66,61,76,56,46,0.0
2019-09-01,63,53,71,63,30,0.0
2019-09-02,76,76,65,72,62,0.0
2019-09-03,90,85,77,89,73,0.0
2019-09-04,92,100,57,91,99,0.0
2019-09-05,89,81,77,88,81,0.0
2019-09-06,88,81,55,82,83,0.0
2019-09-07,62,57,72,61,44,100.0
2019-09-08,68,55,71,67,32,0.0
2019-09-09,96,92,86,86,88,0.0
2019-09-10,96,87,76,88,82,0.0
2019-09-11,93,88,96,88,100,0.0
2019-09-12,90,88,82,88,92,0.0
2019-09-13,81,85,59,90,91,0.0
2019-09-14,64,55,72,58,31,0.0
2019-09-15,70,59,55,63,40,0.0
2019-09-16,95,85,100,91,84,0.0
2019-09-17,100,90,76,97,93,0.0
2019-09-18,91,88,71,94,96,0.0
2019-09-19,88,88,71,87,93,86.0
2019-09-20,84,81,94,82,96,0.0
2019-09-21,63,55,81,57,49,0.0
2019-09-22,67,56,75,67,39,0.0
2019-09-23,87,80,60,89,96,83.0
2019-09-24,90,81,61,100,99,0.0
2019-09-25,90,82,65,96,97,0.0
2019-09-26,89,94,73,91,92,0.0
2019-09-27,87,78,60,81,86,0.0
2019-09-28,67,56,89,58,44,0.0
2019-09-29,68,60,54,67,39,0.0
2019-09-30,91,82,71,90,81,0.0
2019-10-01,96,87,56,94,94,0.0
2019-10-02,100,93,68,92,67,0.0
2019-10-03,96,94,41,91,97,0.0
2019-10-04,88,77,39,84,83,0.0
2019-10-05,70,60,73,62,37,0.0
2019-10-06,73,63,53,66,32,0.0
2019-10-07,97,89,53,95,81,0.0
2019-10-08,98,100,54,98,69,0.0
2019-10-09,97,91,51,98,82,0.0
2019-10-10,97,93,38,95,78,0.0
2019-10-11,89,87,100,89,79,0.0
2019-10-12,69,60,69,63,34,0.0
2019-10-13,72,63,61,67,25,0.0
2019-10-14,95,87,51,93,86,0.0
2019-10-15,96,95,62,100,100,0.0
2019-10-16,99,92,66,97,85,0.0
2019-10-17,91,94,66,95,92,0.0
2019-10-18,83,91,52,86,88,0.0
2019-10-19,67,60,50,56,39,0.0
2019-10-20,71,56,53,66,37,0.0
2019-10-21,95,86,71,93,80,0.0
2019-10-22,94,90,54,98,93,93.0
2019-10-23,98,95,66,99,94,0.0
2019-10-24,92,81,52,85,75,0.0
2019-10-25,84,85,42,75,70,100.0
2019-10-26,62,63,54,54,31,0.0
2019-10-27,66,55,67,56,36,0.0
2019-10-28,89,91,82,84,70,93.0
2019-10-29,95,96,44,93,76,0.0
2019-10-30,91,90,34,89,94,0.0
2019-10-31,89,90,48,90,93,0.0
2019-11-01,89,78,74,77,79,0.0
2019-11-02,68,54,74,56,32,0.0
2019-11-03,72,63,80,65,35,0.0
2019-11-04,99,93,38,91,89,0.0
2019-11-05,95,95,60,92,88,0.0
2019-11-06,100,90,71,88,100,0.0
2019-11-07,93,81,58,100,83,0.0
2019-11-08,87,83,87,87,87,0.0
2019-11-09,64,55,65,61,41,0.0
2019-11-10,68,56,61,65,42,0.0
2019-11-11,91,82,75,92,81,0.0
2019-11-12,90,91,64,91,85,94.0
2019-11-13,95,95,58,92,99,96.0
2019-11-14,90,97,37,90,90,0.0
2019-11-15,89,87,60,87,82,0.0
2019-11-16,69,60,54,60,37,0.0
2019-11-17,70,52,58,69,32,0.0
2019-11-18,95,89,61,95,93,0.0
2019-11-19,93,100,52,96,99,0.0
2019-11-20,92,96,90,92,91,0.0
2019-11-21,90,97,52,92,91,0.0
2019-11-22,87,80,60,89,97,100.0
2019-11-23,62,61,80,58,41,0.0
2019-11-24,66,64,76,62,26,0.0
2019-11-25,87,85,71,87,95,95.0
2019-11-26,87,87,44,88,90,0.0
2019-11-27,77,77,61,88,74,0.0
2019-11-28,69,75,100,72,81,0.0
2019-11-29,64,65,77,65,68,0.0
2019-11-30,59,61,65,52,40,0.0
2019-12-01,70,58,70,64,28,97.0
2019-12-02,97,93,61,89,86,0.0
2019-12-03,96,100,59,93,100,0.0
2019-12-04,94,89,36,91,99,0.0
2019-12-05,100,96,57,97,93,0.0
2019-12-06,93,79,49,97,74,0.0
2019-12-07,71,66,42,66,35,0.0
2019-12-08,67,54,42,70,31,0.0
2019-12-09,91,93,43,89,65,0.0
2019-12-10,94,85,54,95,92,0.0
2019-12-11,96,95,70,100,78,0.0
2019-12-12,93,94,54,97,81,0.0
2019-12-13,84,92,100,92,92,91.0
2019-12-14,67,55,57,66,43,0.0
2019-12-15,69,59,38,64,30,0.0
2019-12-16,91,85,85,87,80,0.0
2019-12-17,95,84,70,93,79,0.0
2019-12-18,85,77,39,83,73,0.0
2019-12-19,84,73,58,83,72,0.0
2019-12-20,81,67,64,75,73,0.0
2019-12-21,60,49,54,59,37,0.0
2019-12-22,57,43,61,52,30,0.0
2019-12-23,75,62,57,71,75,94.0
2019-12-24,65,57,58,68,54,0.0
2019-12-25,54,44,58,55,35,0.0
2019-12-26,73,60,55,71,60,0.0
2019-12-27,84,71,61,74,60,0.0
2019-12-28,72,45,54,61,31,0.0
2019-12-29,72,59,68,64,28,100.0
2019-12-30,91,67,70,81,77,0.0
